"code","location","registered","envelopes","valid","ObËansk· demokratick· strana","ÿ·d n·roda - Vlasteneck· unie","CESTA ODPOVÃDN… SPOLE»NOSTI","»esk· strana soci·lnÏ demokratick·","Volte Prav˝ Blok-stranu za ODVOLAT.polit.,NÕZK… danÏ,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PÿÕMOU demokr. WWW.CIBULKA.NET","RadostnÈ »esko","STAROSTOV… A NEZ¡VISLÕ","Komunistick· strana »ech a Moravy","Strana zelen˝ch","ROZUMNÕ - stop migraci a dikt·tu EU - penÌze naöim obËan˘m, d˘chodc˘m, dÏtem, zdravotnÏ postiûen˝m...","SpoleËnost proti developerskÈ v˝stavbÏ v ProkopskÈm ˙dolÌ","Strana svobodn˝ch obËan˘","Blok proti islamizaci - Obrana domova","ObËansk· demokratick· aliance","»esk· pir·tsk· strana","OB»AN… 2011-SPRAVEDLNOST PRO LIDI","Unie Hrdosti, Aktivity, VlastenectvÌ, Empatie a Lidskosti 2017","»esk· n·rodnÌ fronta","Referendum o EvropskÈ unii","TOP 09","ANO 2011","Dobr· volba 2016","SdruûenÌ pro republiku - Republik·nsk· strana »eskoslovenska Miroslava Sl·dka","K¯esùansk· a demokratick· unie - »eskoslovensk· strana lidov·","»esk· strana n·rodnÏ soci·lnÌ","REALIST…","SPORTOVCI","DÏlnick· strana soci·lnÌ spravedlnosti","Svoboda a p¯Ìm· demokracie - Tomio Okamura (SPD)","Strana Pr·v ObËan˘","N·rod SobÏ"
563251,Balkova Lhota,102,69,69,4,0,0,8,-,0,7,7,0,0,-,2,0,0,8,-,-,-,0,5,16,0,0,3,0,0,0,0,9,0,-
563366,BeËice,63,52,52,10,0,0,5,-,0,2,2,0,0,-,1,0,0,11,-,-,-,0,2,3,0,0,1,0,1,0,0,14,0,-
552054,BechynÏ,4†405,2†774,2†752,255,5,3,189,-,4,103,355,27,18,-,53,4,8,242,-,-,-,2,230,793,2,9,105,1,31,4,10,283,16,-
560448,BÏleË,153,106,102,12,0,0,7,-,1,7,20,0,1,-,3,0,0,5,-,-,-,0,4,30,0,0,7,0,0,0,0,5,0,-
552097,Borkovice,195,133,133,24,0,0,8,-,0,3,11,2,1,-,1,0,0,9,-,-,-,0,9,47,0,0,4,0,0,0,0,13,1,-
552101,BorotÌn,525,349,346,33,0,0,23,-,0,32,43,5,5,-,7,0,1,30,-,-,-,0,12,103,1,0,24,1,1,0,2,23,0,-
552127,Brad·Ëov,43,27,27,0,0,0,1,-,0,1,1,0,0,-,0,0,1,2,-,-,-,2,1,12,0,0,2,0,0,0,0,4,0,-
552135,B¯eznice,178,126,125,14,0,0,7,-,0,8,11,1,2,-,2,0,0,22,-,-,-,0,7,31,0,0,13,0,1,0,0,5,1,-
552143,Budislav,310,187,185,23,0,0,15,-,0,6,14,3,4,-,2,0,0,26,-,-,-,0,10,43,0,2,15,0,0,0,0,22,0,-
563722,»ern˝öovice,76,60,60,5,0,0,4,-,0,4,15,0,1,-,1,0,0,4,-,-,-,0,3,16,0,0,1,0,0,0,0,6,0,-
552208,DÌrn·,347,222,222,38,0,0,14,-,0,24,15,1,5,-,3,0,0,15,-,-,-,0,12,66,0,0,12,0,0,0,0,17,0,-
563650,Dlouh· Lhota,138,85,85,10,0,0,3,-,1,2,5,0,0,-,0,0,1,18,-,-,-,0,2,28,0,0,6,0,2,0,0,5,2,-
552224,Dobronice u BechynÏ,106,71,70,2,0,0,10,-,1,4,8,1,0,-,0,0,0,4,-,-,-,0,2,29,0,0,0,0,0,0,0,9,0,-
552241,DolnÌ Ho¯ice,669,412,408,37,1,1,41,-,1,15,49,4,0,-,8,0,1,57,-,-,-,0,12,148,0,0,12,0,1,1,0,19,0,-
560529,DolnÌ Hrachovice,114,82,82,0,0,1,10,-,0,4,9,3,0,-,1,0,0,10,-,-,-,0,3,25,0,0,11,0,1,0,0,2,2,-
563765,Drahov,134,97,95,15,0,0,12,-,0,2,9,1,0,-,0,0,0,6,-,-,-,0,5,23,0,0,7,0,2,0,1,12,0,-
552275,Dr·chov,217,162,161,11,0,0,36,-,0,4,22,6,1,-,7,0,1,6,-,-,-,0,8,38,0,1,6,0,1,0,0,9,4,-
552283,Draûice,651,427,424,28,3,1,23,-,0,36,41,9,1,-,7,0,1,43,-,-,-,0,21,155,0,3,11,0,3,1,1,36,0,-
552291,DraûiËky,115,86,86,9,0,0,4,-,0,4,5,3,0,-,2,0,1,16,-,-,-,0,4,29,0,0,4,0,1,0,1,3,0,-
563307,Drhovice,167,121,121,11,1,0,11,-,1,7,9,3,2,-,2,0,0,2,-,-,-,0,8,44,0,0,10,0,0,1,0,9,0,-
563625,Haökovcova Lhota,62,49,48,4,0,0,2,-,0,5,6,0,0,-,0,0,0,8,-,-,-,0,6,7,0,0,2,0,0,0,0,8,0,-
560481,Hlasivo,138,86,86,9,0,0,6,-,0,9,7,1,0,-,0,0,0,11,-,-,-,0,4,20,0,1,10,0,0,0,0,8,0,-
552321,Hlavatce,313,211,211,30,0,0,15,-,0,9,25,1,5,-,1,0,0,19,-,-,-,1,27,51,0,0,18,0,1,0,0,8,0,-
598992,HodÏtÌn,77,57,57,1,0,0,6,-,0,1,19,0,0,-,1,0,0,7,-,-,-,0,0,16,0,0,3,0,0,1,0,2,0,-
562904,Hodonice,108,78,78,6,0,0,6,-,0,8,8,0,1,-,1,0,0,14,-,-,-,0,2,19,0,0,5,0,0,0,1,6,1,-
552453,ChotÏmice,96,67,67,8,0,0,5,-,0,2,4,2,1,-,1,1,0,3,-,-,-,0,5,20,0,0,4,0,0,1,2,8,0,-
552461,Chotoviny,1†349,890,885,106,0,0,61,-,1,46,51,16,4,-,12,0,0,124,-,-,-,0,44,276,0,1,44,0,9,2,0,86,2,-
552470,ChoustnÌk,417,254,253,30,0,1,20,-,0,7,32,2,3,-,3,0,1,24,-,-,-,0,5,70,0,0,21,0,6,1,2,24,1,-
563145,ChrbonÌn,125,98,98,3,0,0,2,-,0,11,7,4,0,-,2,0,2,10,-,-,-,0,3,36,0,0,4,1,0,0,0,13,0,-
552496,Ch˝nov,1†959,1†299,1†291,178,1,2,91,-,3,85,116,13,19,-,21,2,1,142,-,-,-,0,64,358,0,5,59,1,15,2,2,107,4,-
562963,Jedlany,65,48,48,11,0,0,4,-,0,6,4,0,0,-,0,0,0,4,-,-,-,0,2,15,0,0,2,0,0,0,0,0,0,-
552534,Jistebnice,1†646,1†099,1†092,78,2,1,73,-,0,68,88,10,11,-,15,1,0,132,-,-,-,1,52,349,0,3,113,1,3,0,2,87,2,-
530042,Katov,65,45,45,4,0,0,5,-,0,4,5,0,0,-,0,0,0,1,-,-,-,0,5,19,0,0,1,0,1,0,0,0,0,-
563986,Klenovice,499,327,326,40,0,0,23,-,0,14,33,4,6,-,3,0,1,50,-,-,-,1,17,102,0,0,9,0,3,3,1,16,0,-
599280,Kom·rov,109,78,76,4,0,0,10,-,0,1,17,0,0,-,1,0,0,11,-,-,-,0,4,12,0,0,5,0,0,0,0,11,0,-
552585,Koöice,598,390,389,53,0,0,27,-,0,18,26,3,8,-,5,1,1,54,-,-,-,0,17,130,0,0,18,0,1,1,0,25,1,-
562955,KoöÌn,67,47,47,4,0,0,0,-,0,3,2,0,1,-,1,0,0,9,-,-,-,0,7,11,0,0,3,0,0,0,0,6,0,-
560634,Kr·toöice,86,63,63,4,0,0,8,-,0,8,8,0,1,-,0,0,0,6,-,-,-,0,3,14,0,0,5,0,0,1,0,5,0,-
563030,Krtov,114,89,89,8,0,0,8,-,0,4,9,2,1,-,6,0,0,10,-,-,-,0,3,17,0,0,12,0,0,0,0,8,1,-
563544,LibÏjice,105,86,86,13,0,0,10,-,0,11,9,2,0,-,0,0,0,5,-,-,-,0,3,12,0,0,7,0,2,0,0,11,1,-
563587,Lom,135,94,93,16,1,0,4,-,0,6,11,0,0,-,0,0,0,8,-,-,-,0,9,25,0,0,7,0,1,0,0,5,0,-
552666,Malöice,1†455,910,905,103,1,0,51,-,0,37,62,6,15,-,6,1,1,95,-,-,-,4,145,248,0,1,18,0,6,1,1,101,2,-
562866,Maûice,119,68,68,15,0,0,5,-,0,3,8,1,0,-,0,1,0,4,-,-,-,0,2,18,0,0,0,0,0,0,0,11,0,-
563234,Mezi¯ÌËÌ,131,87,87,14,0,0,4,-,0,7,9,3,0,-,0,0,1,9,-,-,-,0,5,17,0,0,8,0,0,0,0,9,1,-
599255,Mezn·,82,43,43,2,0,0,5,-,0,0,4,0,0,-,1,0,0,4,-,-,-,0,3,19,0,0,3,0,0,1,0,1,0,-
552704,Mlad· Voûice,2†156,1†236,1†227,143,2,3,113,-,5,61,144,12,11,-,17,1,0,118,-,-,-,0,50,350,0,4,77,0,11,2,2,95,6,-
552712,Ml˝ny,107,66,66,6,0,0,4,-,0,4,10,0,1,-,1,0,0,10,-,-,-,0,5,15,0,2,1,0,0,0,0,7,0,-
552721,Myslkovice,323,203,203,12,0,0,25,-,0,13,24,0,4,-,3,0,0,21,-,-,-,0,12,65,0,0,8,0,2,0,1,13,0,-
549631,NadÏjkov,578,350,345,29,1,0,27,-,3,15,14,4,4,-,6,0,0,45,-,-,-,0,24,73,0,0,61,0,3,0,0,36,0,-
559016,Nasavrky,75,55,54,9,0,0,1,-,0,5,1,0,2,-,0,0,0,5,-,-,-,0,7,20,0,0,1,0,0,0,0,3,0,-
552747,Nemyöl,226,133,131,20,0,0,7,-,0,13,15,1,4,-,3,1,0,20,-,-,-,0,4,23,0,0,4,0,2,0,0,14,0,-
552763,Nov· Ves u Ch˝nova,247,200,200,48,0,0,12,-,0,13,13,2,1,-,3,1,1,15,-,-,-,0,6,40,0,0,24,0,4,0,0,15,2,-
563455,Nov· Ves u MladÈ Voûice,167,106,105,3,0,0,14,-,0,1,11,2,1,-,1,0,0,20,-,-,-,0,6,33,0,0,4,0,0,2,0,6,1,-
552798,Old¯ichov,181,127,127,18,1,0,11,-,1,4,15,0,0,-,1,0,2,9,-,-,-,0,3,45,0,0,2,0,1,0,0,14,0,-
552801,Opa¯any,1†175,790,789,67,2,0,57,-,1,52,110,9,10,-,16,0,3,95,-,-,-,0,28,232,0,1,27,1,6,0,2,70,0,-
552828,Plan· nad LuûnicÌ,3†128,2†021,2†010,248,3,3,137,-,6,187,131,28,18,-,31,2,7,256,-,-,-,1,139,593,0,3,60,3,18,2,1,129,4,-
560553,Pohn·nec,44,33,33,0,0,0,2,-,0,2,5,0,0,-,0,0,0,2,-,-,-,0,0,18,0,1,3,0,0,0,0,0,0,-
552852,Pohn·nÌ,70,49,49,3,0,0,2,-,0,1,6,0,0,-,1,0,0,9,-,-,-,0,3,21,0,0,2,0,0,0,0,0,1,-
552861,Pojbuky,106,58,56,1,0,0,6,-,0,2,10,0,0,-,1,0,0,0,-,-,-,0,2,21,0,0,0,0,0,1,1,11,0,-
